isin,isin_url,descrizione,cedola,ultimo,scadenza
IT0005565400,https://www.borsaitaliana.it/borsa/obbligazioni/mot/btp/scheda/IT0005565400.html,Btp Valore Sc Oct28 Eur,"1,025","103,18",10/10/2028
IT0005566408,https://www.borsaitaliana.it/borsa/obbligazioni/mot/btp/scheda/IT0005566408.html,Btp Fx 4.1% Feb29 Eur,,"103,89",01/02/2029
IT0005580045,https://www.borsaitaliana.it/borsa/obbligazioni/mot/btp/scheda/IT0005580045.html,Btp Fx 2.95% Feb27 Eur,"1,475","99,68",15/02/2027
IT0005580094,https://www.borsaitaliana.it/borsa/obbligazioni/mot/btp/scheda/IT0005580094.html,Btp Fx 3.5% Feb31 Eur,"1,75","100,67",15/02/2031
IT0005582421,https://www.borsaitaliana.it/borsa/obbligazioni/mot/btp/scheda/IT0005582421.html,Btp Fx 4.15% Oct39 Eur,,"101,52",01/10/2039
IT0005583486,https://www.borsaitaliana.it/borsa/obbligazioni/mot/btp/scheda/IT0005583486.html,Btp Valore Sc Mz30 Eur,"0,8125","100,36",05/03/2030
IT0005584302,https://www.borsaitaliana.it/borsa/obbligazioni/mot/btp/scheda/IT0005584302.html,Btp Fx 3.2% Jan26 Eur,"1,33626","99,99",28/01/2026
IT0005584849,https://www.borsaitaliana.it/borsa/obbligazioni/mot/btp/scheda/IT0005584849.html,Btp Fx 3.35% Jul29 Eur,"1,675","100,66",01/07/2029
IT0005584856,https://www.borsaitaliana.it/borsa/obbligazioni/mot/btp/scheda/IT0005584856.html,Btp Fx 3.85% Jul34 Eur,"1,925","101,40",01/07/2034
IT0005588881,https://www.borsaitaliana.it/borsa/obbligazioni/mot/btp/scheda/IT0005588881.html,Btpi Fx May36 Eur,"0,90","99,10",15/05/2036
IT0005594483,https://www.borsaitaliana.it/borsa/obbligazioni/mot/btp/scheda/IT0005594483.html,Btp Valore Sc Mg30 Eur,"0,8375","100,33",14/05/2030
IT0005595803,https://www.borsaitaliana.it/borsa/obbligazioni/mot/btp/scheda/IT0005595803.html,Btp Fx 3.45% Jul31 Eur,"0,57816","100,25",15/07/2031
IT0005596470,https://www.borsaitaliana.it/borsa/obbligazioni/mot/btp/scheda/IT0005596470.html,Btp Green Fx 4.05% Oct37 Eur,"2,025","101,65",30/10/2037
IT0005599904,https://www.borsaitaliana.it/borsa/obbligazioni/mot/btp/scheda/IT0005599904.html,Btp Fx 3.45% Jul27 Eur,"1,725","101,00",15/07/2027
